shipment_no,log,current_status
C1769780,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769779,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635944,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769760,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635943,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769759,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635942,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769757,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769758,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635940,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769756,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769755,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769754,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635938,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769753,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635937,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635933,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635935,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635934,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635932,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635936,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635930,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635928,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635929,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769751,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635927,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635926,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635925,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769750,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769749,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635894,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635893,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635891,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769747,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769741,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769746,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769745,"[['NA', 'NA', 'NA']]",PA - In Transit
C1769744,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635889,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
