Shipment_number,Tag
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1604067,Priority
N1603847,Priority
N1603013,Priority
N1603532,Priority
N1602458,Priority
Z306200,Priority
N1610663,Priority
N1610989,Priority
N1610876,Priority
N1606345,Priority
N1603504,Priority
N1597387,Priority
N1598284,Priority
N1604512,Priority
N1603241,Priority
Z304687,Priority
N1603393,Priority
N1507784,Priority
N1508362,Priority
N1510145,Priority
N1510569,Priority
N1510546,Priority
N1513990,Priority
N1514541,Priority
N1514466,Priority
N1514617,Priority
N1517013,Priority
Z281973,Priority
N1519294,Priority
Z283106,Priority
N1520554,Priority
N1521664,Priority
N1523920,Priority
N1525312,Priority
N1526594,Priority
N1531204,Priority
Z291481,Priority
N1620326,Priority
N1620686,Priority
N1621800,Priority
N1517723,Priority
N1514496,Priority
N1507784,Priority
N1508362,Priority
N1510145,Priority
N1510569,Priority
N1510546,Priority
N1513990,Priority
N1514541,Priority
N1514466,Priority
N1514617,Priority
N1517013,Priority
Z281973,Priority
N1519294,Priority
Z283106,Priority
N1520554,Priority
N1521664,Priority
N1523920,Priority
N1525312,Priority
N1526594,Priority
N1531204,Priority
Z291481,Priority
N1620326,Priority
N1620686,Priority
N1621800,Priority
N1517723,Priority
N1514496,Priority
N1507784,Priority
N1508362,Priority
N1510145,Priority
N1510569,Priority
N1510546,Priority
N1513990,Priority
N1514541,Priority
N1514466,Priority
N1514617,Priority
N1517013,Priority
Z281973,Priority
N1519294,Priority
Z283106,Priority
N1520554,Priority
N1521664,Priority
N1523920,Priority
N1525312,Priority
N1526594,Priority
N1531204,Priority
Z291481,Priority
N1620326,Priority
N1620686,Priority
N1621800,Priority
N1517723,Priority
N1514496,Priority
N1507784,Priority
N1508362,Priority
N1510145,Priority
N1510569,Priority
N1510546,Priority
N1513990,Priority
N1514541,Priority
N1514466,Priority
N1514617,Priority
N1517013,Priority
Z281973,Priority
N1519294,Priority
Z283106,Priority
N1520554,Priority
N1521664,Priority
N1523920,Priority
N1525312,Priority
N1526594,Priority
N1531204,Priority
Z291481,Priority
N1620326,Priority
N1620686,Priority
N1621800,Priority
N1517723,Priority
N1514496,Priority
N1507784,Priority
N1508362,Priority
N1510145,Priority
N1510569,Priority
N1510546,Priority
N1513990,Priority
N1514541,Priority
N1514466,Priority
N1514617,Priority
N1517013,Priority
Z281973,Priority
N1519294,Priority
Z283106,Priority
N1520554,Priority
N1521664,Priority
N1523920,Priority
N1525312,Priority
N1526594,Priority
N1531204,Priority
Z291481,Priority
N1620326,Priority
N1620686,Priority
N1621800,Priority
N1517723,Priority
N1514496,Priority
N1617433,Priority
Z308025,Priority
N1620278,Priority
N1615611,Priority
N1616494,Priority
N1617350,Priority
Z308234,Priority
Z308226,Priority
N1621305,Priority
N1621871,Priority
N1612691,Priority
N1621297,Priority
N1611247,Priority
N1609064,Priority
N1619936,Priority
N1614530,Priority
N1610137,Priority
N1616736,Priority
N1609644,Priority
N1610601,Priority
N1610833,Priority
N1611138,Priority
Z308365,Priority
N1613385,Priority
N1611149,Priority
N1617433,Delayed
Z308025,Delayed
N1620278,Priority
N1615611,Priority
N1616494,Priority
N1617350,Priority
Z308234,Priority
Z308226,Priority
N1621305,Priority
N1621871,Priority
N1612691,Priority
N1621297,Priority
N1611247,Priority
N1609064,Priority
N1619936,Priority
N1614530,Priority
N1610137,Priority
N1616736,Priority
N1609644,Priority
N1610601,Priority
N1610833,Priority
N1611138,Priority
Z308365,Priority
N1613385,Priority
N1611149,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
N1609571,Priority
N1615627,Priority
N1598485,Priority
N1599500,Priority
N1598780,Priority
N1598605,Priority
N1598743,Priority
N1598756,Priority
N1598568,Priority
N1618054,Priority
N1618493,Priority
N1599661,Priority
N1617471,Priority
N1603468,Priority
N1616382,Priority
N1598919,Priority
N1599531,Priority
N1599791,Priority
N1613346,Priority
N1617243,Priority
N1614677,Priority
N1597026,Priority
N1597002,Priority
N1597038,Priority
N1597071,In-Progress
N1609571,Priority
N1615627,Priority
N1598485,Priority
N1599500,Priority
N1598780,Priority
N1598605,Priority
N1598743,Priority
N1598756,Priority
N1598568,Priority
N1618054,Priority
N1618493,Priority
N1599661,Priority
N1617471,Priority
N1603468,Priority
N1616382,Priority
N1598919,Priority
N1599531,Priority
N1599791,Priority
N1613346,Priority
N1617243,Priority
N1614677,Priority
N1597026,Priority
N1597002,Priority
N1597038,Priority
N1597071,Priority
